,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
3496,H-13,H-13,0.5,1.0,1.9,1.0,"H-13 1 Bed Flat Near About Nust University Easy To Approach Metro Bus Good For Rent Income . Center Point Of Islamabad Airport University , Metro Way",0,1.0,7.0,1.0,7.0,1.0,,1.0,0.2631578947368421,Recently Built,Mid-Level,Mid Rise Core,Single/None
3499,Smama Star Mall & Residency,Gulberg Greens,1.75,3.0,5.5,3.0,"3-Bedroom Apartment for Sale at Samama Stars, Gulberg Greens, Islamabad 3 bed With roof top Stunning View Trade center facing Size 1233 Floor 6th Prime Location in Gulberg Greens This exquisite 3-bedroom apartment is located in the highly desirable Samama Stars development in Gulberg Greens, Islamabad. Known for its serene environment and modern infrastructure, Gulberg Greens offers a perfect balance of tranquility and urban convenience, with easy access to major highways, schools, hospitals, shopping centers, and dining options Contact us for viewings or more information.",0,1.0,6.0,1.0,6.0,0.0,,1.0,0.3181818181818182,Recently Built,Mid-Level,Mid Rise Core,Single/None
3501,Faisal Town,Faisal Town Phase 1,1.05,2.0,4.7,2.0,"Title and Description Faisal town The Gate 2 Bedroom Standard Size 1050 Sq Feet Apartment On Investors Price For Sale Total 26.5 Kanal Project Commercial &Amp; Amp; Apartments Total 14 Floors Excluding Parking 2bedroom 2bathroom TV launch Kitchen Moterway face 2 Basements For Parking Commercial Floors: Ground+Mezzanine+1st+Entertainment Service Floor: For Company Apartment Floors: Apartments Features 3 Separate Entrances For Apartments 1, 2, &Amp; Amp; 3 Bed Apartments Passengers &Amp; Amp; Cargo Lifts Modern Architecture Earthquake Resistant Beautiful Interior And Exterior Design Fire-Fighting Systems Spacious Kids Play Area &Amp; Amp; Gaming Zone Fitness Club Backup Electricity Generator For Lifts And Corridors Separate Gas And Electric Connections For Each Apartment 24/7 Security For Apartments Imported Quality Ttings And Nishes Separate Parking For Apartment",0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.22340425531914893,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
3502,Ghauri Town,Ghauri Town,0.55,2.0,4.0,2.0,2 beds with attached bath tv lounge and kitchen corner flat available for sale at main kalma chok phase 4A ghuri town Islamabad. Near To Islamabad Highway And Market And Masjid And School. For More Details Please Call Or WhatsApp At Or Visit Our Office At Crown King Mall &Amp; Residency Opposite To HBL Bank Phase 5 Ghauri Town Islamabad.,0,1.0,1.0,1.0,6.0,1.0,,0.0,0.1375,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
3511,E-11,E-11,0.65,1.0,3.1,1.0,E-11 One Bedroom Apartment Available For Sale Rental Value 35000 (Unfurnished) 1 Bedroom 1 Washroom Separate Kitchen T. V Lounge Underground Car Parking Good Opportunity For Investors Proper Family Building Lift Available 24/7 Security Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.,0,1.0,1.0,1.0,9.0,,1.0,,0.20967741935483872,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
3518,Executive Heights,F-11,3.3,2.0,5.8,2.0,2Bedroom Attached Bathroom Tv Lounge Kitchen Store Elevators Installed Tuck Shop Mosque Car Parking Cctv Cameras 24/7 Security Residential Building Family Environment Safe And Secure Investment We Have Other Options Available For Sale And Rent We Deal All CDA Sectors Of Islamabad For Further Info And Options Feel Free to Contact Us,0,1.0,1.0,1.0,9.0,1.0,,0.0,0.5689655172413793,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
3520,Margalla View Housing Society,D-17,0.9,3.0,5.3,3.0,"3 Bed Totally Residential Apartment. Available for sale on very reasonable price. In Tulip Apartments. Sector D17, MVHS Islamabad. _Size (1200)( Sqft)_ _3Bed attached 3 bath. _ _T. V longe_ _Kitchen_ _Tarrace_ _(2nd) Floor. _ _Block (D)_ _Tower (C)_ _Rent value 35k_ _Neat and clean Apartment. _ _CCTV cameras available_ _Totally Residential Building_ _All internet connection available_ _50 Feet Wide Road_ _Fully Family Area_ _Electricity Separate Meter. _ -Sui Gas Separate Meter _All Facilities Available:_ _Electricity_ _Sewerage_ _Water_ _Masjid_ _Parks_ _View Points_ _Commercial_ _Cash n Carry_",0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.169811320754717,Modern Era,Ground/First Floor,Ground/Flat,Single/None
3521,Margalla View Society,Margalla View Housing Society,0.9,3.0,7.1,3.0,"Luxury Apartments For Sale In D-17, MVHS_ Location: D-17, MVHS, Near Masjid, Park, Shops, Hospital, And School X _3bedroom Features:_ - 3-Spacious Bedrooms With Attached Bathrooms - Modern Kitchen With Sleek Cabinets And Appliances - - High-Quality Flooring And Finishes - Ample Parking Space _Community Amenities:_ - Nearby Masjid For Convenient Prayer - Park For Recreation And Relaxation - Shops For Daily Essentials - Hospital For Medical Emergencies - School For Education _Facilities:_ - 24/7 Electricity And Water Supply - Gas Connection For Convenient Cooking - High-Speed Elevators For Easy Access - Secure Gated Community With CCTV Cameras - Maintenance Staff For Hassle-Free Living _Experience Luxury Living In The Heart Of Islamabad!_ Contact:",0,1.0,1.0,1.0,1.0,,1.0,1.0,0.1267605633802817,Modern Era,Ground/First Floor,Ground/Flat,Single/None
3522,E-11,E-11,1.05,2.0,5.3,2.0,"E-11 Two Bedroom Fully Furnished Apartment Available For Sale Rental Value 65,000 2 Bedroom 2 Washroom Separate Kitchen T. v Lounge Proper Family Building Good Maintenance Staff Lift Available Underground Parking 24/7 Security Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.",0,1.0,1.0,1.0,9.0,,1.0,,0.19811320754716982,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
3528,Margalla View Society,Margalla View Housing Society,0.55,2.0,3.8,2.0,Margala view housing society d 17 Islamabad 2bedroom Apartment Available For Sale 3rd floor Size 850sqft 2bedroom 2bathroom TV launch Kitchen Balcony Sui gas Separate metre Electrician separate metre Water available Contact For More Details,0,1.0,1.0,1.0,1.0,,1.0,,0.14473684210526316,Modern Era,Ground/First Floor,Ground/Flat,Single/None
3529,Margalla View Society,Margalla View Housing Society,0.95,3.0,5.6,3.0,"3 Bed Totally Residential Apartment. Available for sale on very reasonable price. In Tulip Apartments. Sector D17, MVHS Islamabad. Ground floor _Size (1250)( Sqft)_ _3Bed attached 3 bath. _ _T. V longe_ _Kitchen_ _Tarrace_ _Block (D)_ _Tower (D)_ _Rent value 35k_ _Neat and clean Apartment. _ _CCTV cameras available_ _Totally Residential Building_ _All internet connection available_ _50 Feet Wide Road_ _Fully Family Area_ _Electricity Separate Meter. _ -Sui Gas Separate Meter _All Facilities Available:_ _Electricity_ _Sewerage_ _Water_ _Masjid_ _Parks_ _View Points_ _Commercial_ _Cash n Carry_",0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16964285714285715,Modern Era,Ground/First Floor,Ground/Flat,Single/None
3539,Bani Gala,Bani Gala,1.33,1.0,4.6,1.0,"DK Developers is the one of the most leading Company in Pakistan and Dubai, DK Developers is providing the Luxurious Living Standard in Karachi and Dubai DK Developers also complete its 1st Project in Islamabad, Rubina Luxury Residences Bani gala Islamabad Providing 1 to 4 bed apartments on easy 2 years installments plan, our model Apartment is ready to visitor, Project Detail: Grey Structure Complete, Rubina Luxury Residences is reaching its final Touch, Finishing Work near to completion. Location: Main Jinnah Road Bani Gala Islamabad. Amenities and Facilities Swimming Pool GYM Elevators Indoor Parking Free WIFI 24/7 Security. DK Developer is the name of trust in the Real Estate Market of Pakistan and Dubai.",0,4.0,3.0,2.0,5.0,,1.0,1.0,0.28913043478260875,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
3540,Bani Gala,Bani Gala,1.85,2.0,6.3,2.0,2 Bedroom Apartment For Sale. Located At Most Peaceful Area . 15 Min Drive From Zero Point Please Call For Details.,0,4.0,3.0,2.0,6.0,1.0,1.0,1.0,0.29365079365079366,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
3541,Robinas Luxury Residences,Bani Gala,2.17,3.0,7.4,3.0,"- Prime Location: Just 15 minutes from Serena Hotel, Islamabad - Ground + 5 Floors Grey Structure Ready - Modern amenities and luxurious living spaces - Perfect blend of comfort, style, and investment potential Don't miss this opportunity to own your dream home! Contact us for more details.",0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,0.29324324324324325,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
3556,Capital Residencia,Margalla Hills-2,1.9,3.0,7.6,3.0,One Of The Best Place For Living And Investment 3 Bedrooms Dining Tv Launch Open Kitchen 1700 Square Feet Corner And Margallah Face Beautiful View Flat For Sale Total Family Atmosphere Mosque Double Basement Car Parking Lifts 24 Hours Available With Generator Backup For More Details Call Us Ettemad Enterprises Capital Residancia E11 4 Islamabad,0,1.0,10.0,1.0,15.0,1.0,2.0,1.0,0.25,Recently Built,Mid-Level,High Rise,Single/None
3560,Capital Resorts,E-11,1.45,3.0,5.3,3.0,"Capital Resort Gold Line Capital Residencia Ka Sat 3 Bed 3 Bath Tvl Open Kitchen Noc Clear From Cda Under Ground Parking Sweming Pool Jim Mosque Main Margalla Road E11 Near Taj Shadi Hall You Can Be The Owner Of Your Dream Home, With This Beautiful Flat Available For Sale. This Listing Let You Choose The Perfect 1200 Square Feet Property For You. Affordable Real Estate Options Are Available In Islamabad So Search One For Yourself Today. Priced At Rs. 13500000 , What More Could You Ask For? You Will Find No Problem Living In Capital Resorts As It Has All The Amenities. A Spacious Flat In Capital Resorts Is Hard To Come By, So Make Your Decision Quickly. A Few Highlighting Features Of The Property Are As Follows. Having A Separate Dining Room In The Flat Makes Meal Time More Fun. A Proper Waste Management System Ensures Cleanliness On Premises 24/7. The Building Has A Service Elevator That You Can Use To Transport Your Luggage Conveniently To Your Floor. The Apartment Building Provides An Inviting Ambiance With Its Spacious Lobby And Reception Area. Flat With Double-Glazed Windows Appear More Attractive And Safe. You Can Give Us A Call Right Now, To Find More About The Property. Now You Don'T Have To Worry About Seating Your Close Relatives As The Central Lounge In This Flat Is Big Enough. You Can Contact Us Now To Know All About It!",0,1.0,6.0,2.0,14.0,1.0,1.0,1.0,0.27358490566037735,Brand New (2025),Mid-Level,High Rise,Dual Setup
3561,The Veranda Residence,E-11,4.5,3.0,9.9,3.0,E11/1 Diamond Category 3 Bed Dd Tv Attached Bath Extra Terrace 2234 Sq Feet Furnished Flat For Sale,0,2.0,6.0,3.0,8.0,1.0,2.0,1.0,0.45454545454545453,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
3573,G-11,G-11,3.25,2.0,7.3,2.0,The Arch Residencia Apartment G-11/3 Having 2 Bedroom 2 Bathroom TV Lounge DD Room Kitchen Water Electric Gas Security CCTV Camera Left 24 7 Hr Underground Car Parking For More Details Call,0,4.0,1.0,3.0,10.0,1.0,1.0,1.0,0.4452054794520548,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
3578,Goldcrest Views,DHA Phase 2,2.9,2.0,6.8,2.0,"A luxurious 2-bedroom apartment is available for sale in Views 1, Tower D, Goldcrest Views, DHA Phase-2, Islamabad, with a clear title deed and a breathtaking Margalla Hills facing view. Covering approx. 1,530 sq. ft (6.8 marla), this modern unit offers: 2 spacious bedrooms with attached bathrooms Bright lounge and dining area with wide Margalla-facing windows Stylish modern kitchen with premium fittings Balcony with panoramic Margalla Hills view Reserved covered parking space 24/7 security, CCTV, elevators, and backup power Prime Location Advantages: Walking distance to Giga Mall Easy access to Islamabad Expressway Located in the heart of DHA Phase 2 with restaurants, schools, and hospitals nearby Surrounded by modern amenities and a secure community lifestyle Perfect for end-users seeking a premium lifestyle or investors looking for high rental returns.",0,2.0,9.0,6.0,40.0,1.0,1.0,,0.4264705882352941,Future,Mid-Level,Skyscarper,High-Capacity
3579,Goldcrest Views,DHA Phase 2,2.95,3.0,7.3,3.0,"Goldcrest Views Is A Luxury Project Of Giga Group In DHA Phase 2 Islamabad Having World Class Amenities On Rooftop As Well As On Podium. Building Structure 40% Completed Goldcrest Views-1 (Tower-B) 40 Story Tower Studio Apartment Floor=24th ( Margalla Facing ) Area = 1635 Sq. Ft Total Price =29,430,000/- Initial Payment 1,8500,000/- Quarterly Instalment =10,930,000/- Remaining Amount 1,256,500/- Pay in 2 Years Easy Quarterly Instalments. Possession In 2027. *New Company Official Booking Rate @ 27,000/- Per Sq. Ft. *Model Apartment Can Be Visited At Giga Mall World Trade Center. *Margalla View Apartment. *Avail This Opportunity Before Its Too Late. Goldcrest Views Is Located At The Prime Address Of Down Town Giga. It Is A Centrally Connected Place On The Main G. T. Road. It S A Place Where The Best Health And Education Facilities Are Always Available. Plus, The Biggest Shopping Mall In Islamabad Giga Mall, And The Unique D-Mall Is Just A Walking Distance Away. Moreover, Its Strategic Location Is Easily Accessible From Rawalpindi As Well As Islamabad. This Is Because It Is Located In The Heart Of Twin Cities. *Goldcrest Views Islamabad Features* The Facilities Available To Each And Every Home Owner In Goldcrest Views Start From The Podium Level And Reach The Sky. So, Each And Every Home Owner Will Have Exclusive Access To Their Own Roof Top Facilities, With Expansive Views Of Margalla Hills. Some Of The Unmatchable Facilities Provided By This Project Are: *Rooftop Amenities* Swimming Pool, Children Play Areas, Juice Bar/Relaxation Lounge, Health Club, Gymnasium, Sauna/Steam Room, Shower Areas, Seating Area &Amp ;Amp; Garden. *Podium Level* Mosque, Children Play Areas, Barbeque Area, Jogging/Walking Track, Water Bodies &Amp;Amp; Fountains, Daycare Center, Indoor Sports, Bakery/Library/Tuck Shop *Standard Features* Studio, 1, 2, 3, 4-Bed Luxury Apartments Penthouses, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.",0,1.0,24.0,6.0,40.0,1.0,1.0,,0.40410958904109595,Future,High-Rise,Skyscarper,High-Capacity
3583,Residency,DHA Phase 2,1.65,2.0,6.8,2.0,"Building / Project: Defence Executive Apartments, DHA Phase II, Islamabad. Unit Type: 2-bedroom residential apartment. Carpet / Built-up Area: Approximately 1,523 sq ft for a 2-bed unit. Bathrooms: 2 (typical for 2-bed in this project) Location benefits: In the heart of DHA Phase II, prime suburban Islamabad address, access to main GT Road, near commercial & retail amenities. Key Features & Amenities Gated community lifestyle, 24/7 security with CCTV surveillance. Covered car-parking basement or multilevel parking options. Swimming pool & health club facilities (mentioned as part of the overall project amenities). Convenient location: close to major commercial hubs, retail, schools, etc. Sky Marketing",0,1.0,12.0,10.0,19.0,2.0,1.0,1.0,0.2426470588235294,Modern Era,High-Rise,High Rise,High-Capacity
3585,Zarkon Heights,G-15,1.8,2.0,4.8,2.0,"A comfortable life awaits you in Zarkon Heights, surrounded by all kinds of facilities. You can be an owner of a well-fitted property that is available for sale in a posh area. We help families like yours in buying Flat in Islamabad. You will be hard-pressed to find such a price of Rs. 18000000 in the area. Let us take you on the virtual real estate tour of Islamabad city. Follow the market trends, purchase your 1073 Square Feet Flat today. The salient features of this property are given below. The dry cleaning facility close to the Flat uses modern dry cleaning techniques without doing any damage to the fabric, embroidery or other embellishments. You can use the service elevator in the building for your goods and luggage. You can hang out in the apartment's lobby while you wait. You can meet the neighbourhood community after prayers in the mosque near Flat. A kids play area with the Flat is a useful additional feature. Mealtime with families or entertaining guests, the house's large dining room solves all problems. You can rely on round-the-clock waste disposal team to keep society neat and tidy. Looking for property advice? We are to help you navigate the world of property.",0,1.0,3.0,2.0,9.0,1.0,1.0,1.0,0.375,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3589,MPCHS,MPCHS - Multi Gardens,0.7,2.0,3.7,2.0,builder Transfer. Main Markaz Block c1 4th Floor. 828 Sq Ft. Well Maintained. Neat sand Clean Apartment. 2 Bed Luxury Apartment Available For Sale in Block c1. Multi Gardens MPCHS B-17. Apartment Size 828 Sq Ft. left instlled 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. Electricity and Water Available. Main Commercial Market MDR +MOSQUE. . +SCHOOL +ZOO+FAMILY PARK Margalla facing & J7 Facing Interested People Can Contact Easily.,0,4.0,1.0,1.0,5.0,3.0,1.0,2.0,0.18918918918918917,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
3591,I-16,I-16,0.57,2.0,4.1,2.0,2nd Floor 2 Bed 2 Bath T. V lounge Kitchen Store Balcony Front Of Metro Stop Incoming Rent 16k,0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,0.13902439024390245,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3592,Top City 1,Top City 1,0.728,1.0,2.3,1.0,"Top City Block B Luxury 18 Floor Residential Apartment Located in the heart of Top City Islamabad, this 18-floor residential project offers a modern and luxurious lifestyle with all top-class facilities. Helipad on rooftop Swimming Pool Gym & Spa 24/7 Security & CCTV Monitoring High-Speed Lifts Standby Generators Spacious Car Parking Children Play Area Shopping Area & Community Space Total Price: 72,80,000 Down Payment: 10 Lac Confirmation: 10 Lac Monthly Installment: Only 80,000 5-Year Easy Payment Plan Perfect for residence or investment, this project promises high returns, modern living, and a peaceful environment in Top City Block B.",1,1.0,1.0,1.0,1.0,,,,0.3165217391304348,Recently Built,Ground/First Floor,Ground/Flat,Single/None
3595,Bani Gala,Bani Gala,1.1,1.0,3.8,1.0,Apartment for sale in best location. Get your dream investment with high returns. please call for further details or whatsaap. Best investment with low prices.,0,4.0,4.0,2.0,6.0,1.0,1.0,1.0,0.2894736842105263,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
3596,Bani Gala,Bani Gala,1.85,2.0,6.3,2.0,"Robina's Luxury Residences, Islamabad. Stunning 1-4 bedroom apartments breathtaking views of Rawal Lake and Margalla Hills. Enjoy luxury living with top-notch amenities, competitive rates, and a secure investment. The project is nearing completion making it an ideal time to invest. Book your dream home today - 24/7 Security - Swimming Pool - State-of-the-Art Gym - Bank & Super Store on site - 2 High-Speed Elevators - Basement parking",0,4.0,4.0,2.0,6.0,,1.0,1.0,0.29365079365079366,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
3597,Capital Residencia,Margalla Hills-2,3.25,4.0,10.7,4.0,4 Bed DD 4 Bath Margalla Face 9th Floor Flat Excellent View Under Ground Parking Separate Electric Meter Mosque Swimming Pool 2400 Sq Feet Main Margalla Road Best Offer Call Us For More Details.,0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,0.3037383177570094,Recently Built,Lower Floors,Mid Rise Core,Single/None
3598,H-13,H-13,0.4,1.0,1.6,1.0,"H-13 Studio Flat Near About Nust University Easy To Approach Metro Bus Good For Rent Income . Center Point Of Islamabad Airport University , Metro Way Ideal Location. Reasonable Price. Grab This Auspicious Opportunity To Execute Your Dreams Into Reality. It Is Sure To Be A Profitable Deal For Any Genuine Client. The Right Place To Invest Your Money. Interested Persons Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. Com When Calling.",0,2.0,7.0,1.0,7.0,1.0,,1.0,0.25,Recently Built,Mid-Level,Mid Rise Core,Single/None
3607,Margalla Hills-2,E-11,4.0,5.0,12.9,5.0,"It's a four bedroom with attached bathroom, Drawing room with an attached bath , 1 servant room with attached bath peaceful living for family underground car parking passengers & cargo lifts facilities Management & maintenance staff available 24/7 CCTV security and guards wide lobbies and corridors Located on the prime location of E-11 Islamabad laundry space and wide kitchen separate Wapda and electricity meter installed near by park , masjid and market . . all facilities available here",0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.31007751937984496,Modern Era,Ground/First Floor,Ground/Flat,Multiple Bank
3610,H-13,H-13,0.85,2.0,4.4,2.0,"H-13 2 Bed Flat Near About Nust University Easy To Approach Metro Bus Good For Rent Income . Center Point Of Islamabad Airport University , Metro Way",0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,0.19318181818181815,Recently Built,Mid-Level,Mid Rise Core,Single/None
3611,H-13,H-13,1.1,2.0,4.6,2.0,"H-13 2 Bed Flat Near About Nust University Easy To Approach Metro Bus Good For Rent Income . Center Point Of Islamabad Airport University , Metro Way",0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,0.23913043478260873,Recently Built,Mid-Level,Mid Rise Core,Single/None
3624,I-16,I-16,0.84,4.0,6.4,3.0,3 Bed 4 Bath Servant Room 2 Lift Installed Marble Floor Ready To Move Incoming Rent 25k Second Floor Near Metro Stop,0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,0.13124999999999998,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3636,Top City 1,Top City 1,0.71,1.0,3.8,1.0,ONE BED FURNISHED APARTMENT AVAILABLE FOR SALE Top City-1 Islamabad Near New International Airport Features: Fully Furnished Apartment One Spacious Bedroom Attached Modern Washroom Stylish Kitchen & Living Area Secure and Peaceful Environment For More Details: Sarmaya Property,0,2.0,5.0,1.0,6.0,,1.0,1.0,0.1868421052631579,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
3639,G-10,G-10,2.3,2.0,4.0,2.0,PHA FLAT FULL RENOVATED FIRST FLOOR 900 SQT 2BED 2BHAT TVL KITCHEN CAR PARKING STORE,0,1.0,3.0,1.0,10.0,2.0,,1.0,0.575,Modern Era,Lower Floors,Mid Rise Core,Single/None
3640,Capital Residencia,Margalla Hills-2,3.1,4.0,10.7,4.0,"Capital Residencia Capital Residencia is building the future of luxury living in style. Imagine a lifestyle special that exceeds imagination, with luxurious apartments at the Capital Residencia, theres nothing short of inspiration and harmony. Living in Islamabad within an eco-friendly ambiance and experiencing the absolute luxury lifestyle is no more a dream. You can live your life in style within the verdant foliage, amazing parks, and the landscaped lawns. Designed to be a distinctive and prominent architectural landmark in the capital city, the soaring ten-story structure consists of luxury apartments. The unique contemporary form and sophisticated styling of the facade will set a new benchmark for the design of buildings in the federal capital. A Modern, elegant exterior and an interior with cutting-edge styling, that use a mixture of glass and both natural and artificial finishes set the tone for a new way of living. Capital Residencia is the next generation of property development offering the very best of dynamic community living, rising above the lush green surroundings in complete harmony with the spectacular environment. Come home to Capital Residencia. Go ahead; experience a radiant lifestyle, the Capital Residencia lifestyle. The colors are vibrant, the style is harmonious. Indulge yourself in the dynamic community living. Look at some of the unique features: Central Heating System. CCTV Cameras. Earthquake resistant structure. Reverse Osmosis Plant. Grand Entrance with trained Security staff. Reception Lobby. Dedicated Mail Box. 12 High speed . Convenient Garbage . Stand-by Power Generator. Complete Privacy. Basement plus 2 floors Car Parking. Recreational Facilities. State-of-the-art Club-House. Swimming Pool. Community Center. Children Play Area. Central Landscaped Courtyard. FEATURES CCTV Monitoring. Community Center. Elevators Masjid. Park. Standby Generator.",0,1.0,1.0,2.0,15.0,1.0,1.0,1.0,0.28971962616822433,Recently Built,Ground/First Floor,High Rise,Dual Setup
3643,G-6,G-6,1.75,2.0,4.0,2.0,"G/6 2bed Drawing Dining 2bath Tv Launch Kitchen Flat Urgent Sale A Prime Category Flat Is Available For Sale. Property Like This Doesn'T Pop Up Too Often. So, It'S Best To Buy It While You Still Can. The Property Covers An Area Of 900 Square Feet Which Is The Perfect Size For Any Family. This Property Is Available For Rs. 16500000. You Will Be Hard Pressed To Find A Better Deal. In G-6, You Will Not Be Wanting For Any Civic Facility. A Modern Infrastructure Of G-6 Attracts Investors And Residents Alike, So What Are You Waiting For? You Can Read The Property Features Below. The Flat Is Centrally Air Conditioned To Maintain The Temperature Inside. The Expert Security Staff Will Remain Vigilant Round The Clock. Double Glazed Windows Don'T Just Elevate The Look Of The House But Are Also Noise Canceling. As A Resident, You Don'T Have To Worry About Waste Disposal As That Is Effectively Taken Care Of. Give Your Formal Clothes For Dry Cleaning To The Dry Cleaning Facility Nearby. Our Agents Can Help Address Your Concerns, If You Dial The Given Number.",0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.4375,Recently Built,Lower Floors,Lower Levels,Dual Setup
3648,Askari Heights 4,DHA Phase 5,3.2,4.0,9.8,3.0,Askari Hight 4 3 Bedroom 4 Washroom Drawing Room Dining Room Tv Lounge Kitchen Store Servant Quarter Electric Available J Mart Available,0,2.0,1.0,2.0,12.0,1.0,1.0,1.0,0.32653061224489793,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
3653,Residency,DHA Phase 2,0.8,2.0,3.6,2.0,"Apartment Is Rented at 28000/- Monthly this pic's of not exact flat its just model apart This new venture by Al Ghurair Giga is a Low-rise residential project comprising 2, 3, 4 and 5 rooms Executive Apartments located in a high profile area of DHA Phase-II, on the Main G. T. Road Islamabad at a 15 Minutes drive from the Benazir Bhutto International Airport. The Project will be a model of class residential comforts with all modern amenities of life. Defence Residency will cater to the varied needs of small, medium and large family setups from middle and upper-class strata. Another outstanding feature of this project is its affordable price and very easy payment plan, keeping in view the needs of common man of the country. Some exclusive features of the project include: Facility Management Services, High Speed Lifts, covered Car Parking, Prayer Area, Standby Power Backup, modern Gymnasium, Children Play Area, Fire-Fighting System, intercom Facility and CCTV Camera Monitoring systems. The Construction work has already commenced on the Project. Some Key Features of project : > Lift / Elevator with 24/7 Power Backup > 24/7 Security > Gated Community > Family Park > Water Filtration Plant > Masjid on walking Distance > Commercial on walking Distance > Punjab Cash & Carry (20,000 grocery Items) > Hyperstar ( Over 30,000 Items ) > World Trade Center (Hyperstar, National and International Brands , Gloria Jeans , Food Court etc) > APS school , Roots IVY university etc > Jacaranda Family Club > Gymnasium and many more with passage of time. For Further details Please feel free to Contact us",0,1.0,1.0,1.0,1.0,1.0,,1.0,0.22222222222222224,Recently Built,Ground/First Floor,Ground/Flat,Single/None
3657,The Centaurus,F-8,7.25,2.0,6.7,1.0,Demand : 7.25 Crore 1 Bed Study Tower B 1512 Sq. Ft 20th Floor 3 Lac Rental Value,0,1.0,4.0,2.0,8.0,1.0,1.0,1.0,1.0820895522388059,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3660,Gulberg Heights,Gulberg Greens,1.8,2.0,6.0,2.0,"Experience luxury living in this beautifully furnished 2-bedroom apartment located in the prestigious Gulberg Heights, Gulberg Greens, Islamabad. Apartment Details: Size: 1360 Sq. ft 2 Spacious Bedrooms with attached modern bathrooms Elegant Living Area with stylish furniture and lighting Fully equipped Kitchen with appliances Beautifully designed Balcony with serene views Located on a prime floor with lift access Furnishing Includes: High-quality beds, sofas, and dining set LED TVs, curtains, AC units Stylish wardrobes and storage Modern lighting and decor throughout Location Highlights: Situated on Main Islamabad Expressway Few minutes drive to Blue Area & Zero Point Secure environment with 24/7 surveillance Walking distance to shops, restaurants & cafes Ideal For: Families looking for a ready-to-move option Investors seeking high rental income potential Professionals working in Islamabad Serious buyers and investors are encouraged to contact for viewing and further details. This apartment wont stay long on the market!",0,1.0,1.0,1.0,6.0,0.0,,0.0,0.3,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3677,G-11,G-11,3.76,2.0,7.3,2.0,Warda Hamna 4 Apartment Having 2 Bedroom 2 Bathroom TV Lounge Kitchen Water Electric Security CCTV camera Left 24 7 Hr Underground Car Parking,0,2.0,1.0,3.0,10.0,,1.0,1.0,0.5150684931506849,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
3681,Al-Ghurair Giga,Al-Ghurair Giga,0.75,2.0,3.6,2.0,"Flat for Sale Block7 Defence Residency Dha Phase 2 Gate 2 Islamabad 2 Bedroom, 1 Tv Lounge 1 Kitchen 2 Bathroom Balcony Parking Size 804sqft near all Shopping Malls Best Time Investment Contact us more details CM Enterprises",0,4.0,7.0,2.0,10.0,1.0,2.0,1.0,0.20833333333333331,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
