,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Servant Quarters,Kitchens,Store Rooms,Storey Unit,Property era
3379,Bahria Enclave,4.5,6.0,10.0,5.0,Bahria Enclave Islamabad Sector J 12 Marla Beautiful Brand New Designer House Is Available For Sale Owner Built House A Plus Construction With Branded Fittings Most Prime And Ideal Location For Living All Basic Facilities Available Such As; Water Gas Electricity Maintenance Security 24/7. Most Populated Sector In Bahria Enclave Islamabad Near To Park Mosque Hospital School &Amp; Entrance. 5 Master Bedroom'S With Attached Bath Beautiful Front Elevation With Marble Work Done Drawing Room Tv Lounge 2 Stylish Kitchens 3 Car Parking Space 1 Servant Room With Attached Bath Reasonable Price Contact Us For More Details,False,False,False,False,0,1.0,2.0,,2.0,Brand New (2025)
3381,G-13,5.5,4.0,7.0,4.0,Best location house for sale in G-13 4 bedrooms with 4 baths 2 kitchen 2 Tv launch 2 drawing rooms Mummty Solid work done Designers front eleviation Meeting with genuine owner For more information please call View Contact Detail,False,False,False,False,1,,,,,Brand New (2025)
3382,DHA Phase 2,10.0,7.0,20.0,6.0,"Call for Detail . . . . Experience upscale living in this beautifully designed 1 Kanal luxury house located in the heart of DHA Phase 2, Islamabad. With elegant architecture, spacious interiors, and premium finishes, this home offers the perfect blend of comfort, style, and convenience. Property Highlights: Location: DHA Phase 2 Sector H (or specify sector) Plot Size: 1 Kanal (500 sq. yards) Bedrooms: 5 spacious bedrooms with attached bathrooms Bathrooms: 7+ modern bathrooms with imported fittings Kitchens: 2 fully equipped kitchens TV Lounges: 2 cozy lounges for family entertainment Servant Quarters: Separate accommodation for staff Parking: Covered space for 23 vehicles Luxury Features: Designer ceilings and lighting High-quality marble and wooden flooring Smart home features and security system Landscaped lawn and outdoor sitting area Stylish staircase and elegant chandeliers Prime Location Benefits: Walking distance to schools, mosques, hospitals, and commercial areas Easy access to GT Road and Islamabad Expressway Peaceful, secure, and well-maintained neighborhood This house is ideal for families seeking a luxurious lifestyle in a prestigious community. Whether you're upgrading your living space or investing in high-end property, this home delivers unmatched value. For inquiries or to schedule a visit, contact: [Your Name / Agent Info]",True,False,False,False,1,2.0,2.0,,2.0,Brand New (2025)
3383,Gulberg Residencia,3.2,6.0,7.0,5.0,"Gulberg Greens islamabad 7 Marla brand new house For Sale ni investor rate Prime Location: ideally located just a 2-minute drive from the Islamabad Expressway. 24-Hour Security: Near to market: Uninterrupted Power Supply: CDA Approved: approved by the Capital Development Authority (CDA) 220ft wide main boulevard Dedicated underpass access to Islamabad Expressway Gated community Underground electricity, gas and water supply Incomparable development Educational & Health Care Centres Commercial Hub Genius Infrastructure 5M / 7M / 10M/ KANAL/2KANAL PLOTS Availible For sale 4 kanal 5 kanal 10 kanal Farm Houses availible",True,False,False,False,0,,,,2.0,Brand New (2025)
3384,Faisal Town Phase 1,3.4,6.0,8.0,6.0,8 MARLA BRAND NEW HOUSE FOR SALE IN A BLOCK FAISAL TOWN PHASE-1 6 BEDROOMS 6 BATHROOMS 2 KITCHEN 2 DRAWING ROOM STORE MUMTY Beautiful Location All Facilities are available. Full Developed NOC approved RDA approval. *FAISAL TOWN PHASE-1* Location Wise 0 KM to M-1 Motorway 0 KM to M-2 Motorway On Main Fateh Jang Road 4 KM to N-5 GT Road 5 KM to New Islamabad Airport 1 KM to Sirinagar Highway. All Size Residential and Commercial Plots are available for *Sale* & *Purchase* Shops Apartments are available for *Sale* and *Rent*. Full Gated Society Gas & Underground Electricity Available. Water Supply. *Block A* Gloria jeans Coffees Faisal Park Markaz Jamia Masjid Saeed Football Ground University Building Water Filtration Plant *Block B* Tandori Restaurant Hanif Medical Complex Play Ground 70 Kanal Park Qurtaba school Jamia Masjid Shareefan BiBi Jamia Masjid Khattam ul Nabiyun (SAW) Markaz. *Block C* Jamia Masjid Aisha (RA) Jamia Masjid Sadiq ul Amen Masjid um-e-Salma (RA) Super Nova School Glow Garden Park Barq Park Bilal Park FT Miusam Cricket Ground. We deal in Faisal Town Phase-1 Faisal Residencia Faisal Margalla City Faisal Hills Faisal Town Phase-2 *ZIMRI ASSOCIATES*,False,False,False,False,1,1.0,2.0,1.0,2.0,Brand New (2025)
3385,Faisal Town Phase 1,3.84,6.0,8.0,6.0,8 MARLA BRAND NEW HOUSE FOR SALE IN A BLOCK FAISAL TOWN PHASE-1 Beautiful Location All Facilities are available. Full Developed NOC approved RDA approval. *FAISAL TOWN PHASE-1* Location Wise 0 KM to M-1 Motorway 0 KM to M-2 Motorway On Main Fateh Jang Road 4 KM to N-5 GT Road 5 KM to New Islamabad Airport 1 KM to Sirinagar Highway. DETAIL OF PLOTS SIZE & PRICE IN FAISAL TOWN 5 MARLA 85 LAC TO 130 LAC 8 MARLA 125 LAC TO 2 CRORE 10 MARLA 150 LAC TO 250 LAC 14 MARLA 2 CRORE TO 2.80 Cr 1 KANAL 2.50 Cr TO 4.25 Cr All Size Residential and Commercial Plots are available for *Sale* & *Purchase* Shops Apartments are available for *Sale* and *Rent*. Full Gated Society Gas & Underground Electricity Available. Water Supply. *Block A* Gloria jeans Coffees Faisal Park Markaz Jamia Masjid Saeed Football Ground University Building Water Filtration Plant *Block B* Tandori Restaurant Hanif Medical Complex Play Ground 70 Kanal Park Qurtaba school Jamia Masjid Shareefan BiBi Jamia Masjid Khattam ul Nabiyun (SAW) Markaz. *Block C* Jamia Masjid Aisha (RA) Jamia Masjid Sadiq ul Amen Masjid um-e-Salma (RA) Super Nova School Glow Garden Park Barq Park Bilal Park FT Miusam Cricket Ground. We deal in Faisal Town Phase-1 Faisal Residencia Faisal Margalla City Faisal Hills Faisal Town Phase-2 *ZIMRI ASSOCIATES* *FAISAL TOWN*,False,False,False,False,0,1.0,2.0,,2.0,Brand New (2025)
3386,Bahria Enclave,2.45,5.0,5.0,3.0,Bahria Enclave Islamabad Sector N 5 Marla Beautiful Brand New Designer House is Available For Sale Owner Built House Near to park Mosque School Hospital & Commercial Market. A plus Construction with Branded fittings Most prime And ideal Location for living All basic facilities Available such as; Water Gas Electricity Maintenance Security 24/7. Beautiful Front Elevation with Rock wall work done 3 Bedrooms with attached bath Drawing room Tv Lounge 1 stylish kitchen 1 Servant room with attached bath Reasonable price Contact us for more details,False,False,False,False,0,1.0,1.0,,2.0,Brand New (2025)
3388,B-17,2.2,5.0,5.0,5.0,multi garden B-17 Faisal margala city Islamabad 5 Marla Brand new house for sale property features plot size 5 Marla cord area 2500 all house floor dimension 25x50 4 luxury bedroom 2 modern kitchen 2 luxury TV lounge 2 luxury drying room 1 car parking Location benefit Walking distance to Majid Park and commercial area Nearby school hospital shopping mall Centre and community club demand 220 lac,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3389,B-17,4.0,6.0,5.0,6.0,Corner 25x50 Designer House for Sale in FMC. 1288 Corner with full basement. 14 ft off set on front and corner 50ft side (big lawn) Can be used as double Unit and as single unit as well. Altogether 6 beds with baths + 2 x TV Lounges (one double height) + 2 x Open Kitchens + 2 x separate gates with car porches + 2 x Big Undergorund Water Tanks (one for the rain water collection and other for society water supply) + 2 x separate roof terraces at top. UnderConstruction (approx will be completed in 2-3 weeks time) Demand: 4 crore,False,False,False,True,0,2.0,2.0,2.0,2.0,Brand New (2025)
3390,DHA Phase 2,8.9,6.0,20.0,6.0,A 1 Kanal House Is Available For Sale In Dha 2 . Newly Constructed Slightly Used With Branded Fittings . Very Attractive Location Near To Main Gate And Commercial. Very Calm Street . Mousqe Is On Walking Distance . Options Like This Is Hard To Find . Fell Free To Call . Always At Your Service. Raj Properties .,False,False,False,False,0,1.0,2.0,1.0,2.0,Modern Era
3391,D-12,9.0,5.0,8.0,4.0,8 Marla Brand New Spacious House Available For Sale In D12. Carpeted Street. Prime Location And Easy Access.,True,False,False,False,0,,2.0,2.0,2.0,Brand New (2025)
3392,E-11,8.5,7.0,12.0,6.0,"*Prime Location of Islamabad Sector E-11/1 Multi* *Size 311.11* Square yards ( 35*80 ) 6 bedroom attached bath 2 drawing rooms with baths, 2 Lounge, 2 kitchen, Sarvant Quarter With Mumty Fully Marble Flooring *Demand 8.50 Crore*",True,False,False,False,0,,2.0,2.0,2.0,Modern Era
3393,Top City 1,5.65,6.0,10.0,5.0,Designer Corner 10 Marla House on 70 ft Wide Road is available for Sale in a Top City. The house is ideal for families looking for a comfortable and spacious home. Features: 5 bedrooms with attached bathrooms 2 kitchens 2 TV lounges Drawing and dining room Servant quarter 2 Car parking space for more information feel free to contact with us,False,False,False,True,1,1.0,2.0,1.0,2.0,Brand New (2025)
3397,MPCHS - Multi Gardens,2.7,5.0,5.6,4.0,"Brand New Designer House for Sale CDA Sector B-17, Islamabad Property Details: Plot Size: 25x50 (1250 Sqft) Double Unit Location: Prime Location in Multi Gardens C1-Block Sector B-17 Islamabad House Features: 4 Spacious Bedrooms 2 Guest Rooms 5 Stylish Washrooms 2 Modern Kitchens Servant Quarter Elegant & Classic Elevation Prime Location Benefits: Walking Distance to Commercial Area Near Mosque, Family Park & Multi Zoo Close to Hospital & Schools Installed Utilities: Own Water Bore ,Gas Meter , Separate Electric Meters For More Details & Visit Contact Now!",True,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3398,Bani Gala,2.35,4.0,5.0,4.0,5 marla double story house for sale in banigala 4 bedroom attached bathroom 2 kitchen 2 tv lunch 1 car parking with beautiful view and electricity water boring 13 mint drive to sareen hotel,False,False,True,False,0,,2.0,1.0,2.0,Brand New (2025)
3399,F-17,2.9,5.0,7.0,5.0,Designer House for Sale 7 Marla Double Height House In CDA Sector F-17/2 T&T Housing Society Islamabad. TV Lounge Double Height Drawing Room 14x14 5 Bed Room With Attach Bath 2 Kitchen Powder Room Mumty with attach Bath Store Room Laundry Area Electric Meter Installed Sui Gas Meter Installed Note Compare with quality House A+ Constriction,False,False,False,False,1,1.0,2.0,1.0,2.0,Recently Built
3400,Gulberg Residencia,4.25,6.0,8.0,5.0,"Islamabad is fast developing and you can find the best rates for properties for residence or investment. Ideally located on Gulberg Residencia - Block F, this is a rare and golden real estate opportunity. Make this ideal property yours at a bargain price of Rs. 42500000. A spacious property with modern features is available for sale. Such a steal deal is hard to come by again. You can buy 8 Marla property as an investment. You can find a House on the lower or upper levels, as suiting to your requirement. Find out what the property entails below. The drawing room of this House is its best feature as you get a private space to host formal friends. Had a bad day? De-stress in the steam room that is part of the House. Stay connected and updated with the broadband internet access facility. Double glazed windows in the House come with several benefits. The house has a grand sitting room perfect for big families. You can enjoy superior air-quality with a central air-conditioning system that is part of the House. You can enjoy winters from the warmth of your home due to central heating in the House. No matter what your property queries are, contact us to get the best answers.",False,False,False,False,0,1.0,1.0,1.0,,Recently Built
3401,Jinnah Gardens,1.5,2.0,5.0,2.0,"It'S In Jinnah Garden,Street No 60,Near Main Civic Centre Mosque Walking Distance 1 Minute. Its End Corner Single Story House. Water Supply Of Society Is Available As Well,Big Size Bed Rooms Like 10 Marla House,Washrooms Size And Kitchen Size Is Also Specious,You Can Easily Park A Big Car Of Jeep Inside Car Porch,It Has 2 Bed Rooms ,2 Bathrooms, Kitchen ,TV Laung. For Further Detail Contac Pleased",False,False,False,True,1,,,,1.0,Brand New (2025)
3402,I-8,11.5,7.0,14.2,6.0,Presenting to you a well planned Front open solid Double Story House Location I-8/4 near habibi Dimensions 40x80 14 marla house Accommodation Double storey 6 bed/bath 2 drawing/dining 2 tv lounge 2 kitchen Condition livable house Price-12Cr,False,False,False,False,0,2.0,2.0,1.0,2.0,Established
3403,Shaheen Town,1.3,6.0,5.0,6.0,"A Stunning & Spacious Modern Family Residence in a Prime Location We are pleased to present this exceptional, nearly built two-story house for sale. Meticulously constructed with high-quality materials and finishes, this property is perfect for a large family seeking a comfortable and well-connected lifestyle. This is a direct sale from the owner, ensuring a smooth and transparent transaction. Property Highlights: - Generous Layout: A massive 5 Marla plot on a wide 30-foot street, offering excellent space and accessibility. - Abundant Accommodation: 6 large bedrooms, each with its own attached bathroom for ultimate privacy and convenience. - Modern Construction: Built with high-quality materials and finished to a high standard, including Tera Marble quality tiles throughout for an elegant and durable finish. - Prime Location: Situated in a highly desirable and accessible area, placing you within easy reach of key landmarks and amenities. Key Features & Amenities: - Two-Story Design: A spacious design that maximizes living space. - Big Car Porch: Ample covered parking for multiple vehicles. - Essential Utilities: All modern utilities are readily available, including: - Owner Water Bore: Ensuring a reliable and independent water supply. - Gas Line in Street: Easy and quick connection to the main gas supply. - Electric Meter: Ready for connection. Ideal Location Everything You Need is Minutes Away: This house boasts a supremely convenient location, with the following distances for easy reference: - Farash Town: Just 0.5 km away. - Al Nafees Medical College & Hospital: A mere 1 km away. - Sultana Foundation: Only 1 km away. - Main Stop, Lehtrar Road: A convenient 1.5 km. - Army Public School: 1.5 km away. - Park Enclave: Approximately 5 km away. - Bahria Enclave: Approximately 7 km away. Additional Information: - Ownership: This is a personal house, and the sale is being handled directly by the owner. We are not property dealers. - Documentation: All property documents are clear, verified, and ready for transfer. Don't miss this incredible opportunity to own a beautiful, ready-to-move-in family home in a fantastic location. Perfect for those associated with Al Nafees Hospital or seeking proximity to key schools and main roads.",True,False,True,False,1,1.0,2.0,1.0,2.0,Recently Built
3404,DHA Phase 3,2.75,4.0,5.0,4.0,"5 Marla properties don't come by easily, so invest while you can. When it comes to housing, location is everything and we have quite a many options regarding that. The DHA Serene City - Zone 5 based property has arrived just for you. Your home in the busy city of Islamabad could be the gateway to a new and improved life. House prices can fluctuate but if you're ready then PKR Rs. 27,500,000 is quite reasonable. All your dreams can come true with this House, which is well-constructed and centrally-located. We are just a phone call away, contact us now.",False,False,False,False,0,1.0,1.0,2.0,2.0,Modern Era
3405,Bani Gala,2.3,5.0,5.0,5.0,5 Marla Double Story Double Height House For Sale In Banigala,False,False,False,False,1,,2.0,1.0,2.0,Recently Built
3406,DHA Phase 2,6.7,6.0,20.0,5.0,10 Marla Stunning Designer house DHA Phase 2. For Sale One Kanal Stunning Designer house DHA Phase 2. 4 bedroom 5 washroom 2 living area 1 kitchen 1 drawing room 1 Servent 2/3 car parking Contact,False,False,False,False,0,2.0,2.0,1.0,2.0,Brand New (2025)
3407,G-13,3.25,5.0,4.0,4.0,G-13/4 Beautiful Like Brand New House For Sale 4 Bedroom 5 Bathroom 2 TV Lunch 2 Kitchen 2 Dining Room Gess With Boor,False,False,False,False,0,,,,,Brand New (2025)
3408,G-15,3.85,6.0,5.0,5.0,G-15/3 25*50 Brand New Double Road Green Belt Facing House For Sale 5 Bedroom 6 Bathroom 2 TV Lunch 2 Kitchen 2 Dining Room Boor,False,False,False,False,0,,,,,Brand New (2025)
3409,G-13,3.35,5.0,4.0,4.0,G-13/4 25*40 Like Brand New Tail Floor House For Sale 4 Bedroom 5 Bathroom 2 Kitchen 2 DD Room Gess With Boor,False,False,False,False,0,,,,,Brand New (2025)
3410,G-13,8.4,5.0,10.0,5.0,G-13 10 Marla Beautiful Luxury Brand New Street Corner House Double Road House For Sale Solar panel With Extra Land 5 Bedroom 5 Bathroom 2 Kitchen 2 DD Room Boor,False,True,False,True,0,,,,,Brand New (2025)
3411,G-13,5.35,6.0,8.0,5.0,"G-13/2 30*60 Beautiful House For Sale Prime Location Park, Masjid, Market 5 Bedroom 6 Bathroom 2 Kitchen 2 DD Room Gess With Boor",True,False,False,False,0,,,,,Brand New (2025)
3412,G-13,8.6,7.0,10.0,7.0,G-13 Beautiful House For Sale 7 Bedroom 7 Bathroom 2 DD Room 2 Kitchen Manti Room Bor Peaceful Environment. Reasonable Demand. Interested Persons Are Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About this. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal. Please Remember To Mention Zameen. Com When Calling.,False,False,False,False,0,1.0,1.0,1.0,2.0,Brand New (2025)
3413,G-14,7.25,6.0,10.0,7.0,G 14 2 Size 35x70 10 Marla brand new house for sale beautiful location 8 bedroom 8 washroom 2 TV launch 2 drawing room 1 servant room 3 car parking,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3414,Faisal Town Phase 1,3.8,5.0,7.0,4.0,"Faisal Town Block A | 7 Marla Sun-Facing Short Corner House For Sale Key Highlights: Plot Size: 7 Marla (Short Corner Extra Open View) Location: Faisal Town, Block A (Prime Spot Sun Facing) Construction: Solid & Stylish Finishing Solar: 10 kW Solar System Installed (Energy Efficient) House Features: 4 Spacious Bedrooms All with Attached Modern Baths 1 Study Room Perfect for Home Office/Library 2 Drawing Rooms Separate Guest & Family Sitting 2 Stylish Kitchens With Latest Fittings & Cabinets Solid Construction Quality Material & Elegant Design Sun-Facing Orientation Maximum Natural Light & Ventilation 10 kW Solar System Lower Bills, Backup in Power Cuts Car Parking Space Ample Parking Area Corner Advantage Open Front + Side, Better Airflow & Spacious Layout Well Planned Design for Family Comfort Contact Now: View Contact Detail Location Pin: Faisal Town Block A Near to Main central park",False,True,False,True,1,,1.0,,,Brand New (2025)
3415,G-8,4.45,3.0,5.0,3.0,5 Marla with Extra Land House G-8/2 Size 25X50 Addl Land at Backyard 4 Marla Contact on Whatsapp,False,False,False,False,1,,,,,Brand New (2025)
3416,MPCHS - Multi Gardens,2.48,5.0,7.0,4.0,"Beautiful 7 Marla House for Sale in B-17, E Block Islamabad A well-constructed 7 Marla double-storey house is available for sale in the prime location of E Block, MPCHS B-17 Islamabad. The house features modern architecture, high-quality materials, and an ideal layout for a comfortable family lifestyle. Property Features: Plot Size: 7 Marla (30x60) Double Storey Construction 4 Spacious Bedrooms with attached bathrooms 2 Modern Kitchens with high-quality fittings 2 TV Lounges and a Drawing/Dining Room Servant Quarter (optional, if available) Wide Car Porch (Space for 2 Cars) Terrace with Scenic View Beautiful Ceiling & Tile Work Electricity, Water & Gas Available Location Highlights: Situated in E Block, B-17 (Multi Gardens) Near Park, Mosque, and Commercial Area Easy access to GT Road, M-1 Motorway, and Margalla Avenue Peaceful and secure neighborhood Ideal for both residence and investment",True,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3417,G-13,7.1,6.0,7.0,6.0,"Tri star marketing Brand New House For Sale Located At Prime Location Of G-13 Islamabad Size ( 30x60 )7Marla Great Opportunity For You, Don't Miss It. . . original Pictures Attached about The Property: 5 Bedrooms 5 Washrooms 2 Drawing Room 2 Kitchens 2 Tv Lounge Car Parking Tile Flooring Double Unit House Ideal Locality Electricity & Gas Meters Are Available Water Boring Running & Also Water Supply Facility Available All Facilities Are Available Which Is The Need Of Living Near To Main Double Road And Kashmir Highway Near To School, college, market, masjid public Transport, hospitals And Etc. Located In One Of The Best Locations Of G-13 Islamabad contact us View Contact Detail",True,False,True,False,0,,,,2.0,Brand New (2025)
3422,CBR Town Phase 1,4.25,6.0,10.0,6.0,10 Marla Doubble storey New brand house for sale in CBR Town super hot location very beautiful location solid house 6 bedroom with attach bathrooms tv lounge kitchen drang room with attach bathrooms 2 big car parking all rooms cabanit available Asking demond 4 Cror 25 lac,False,False,False,False,1,,,,2.0,Recently Built
3424,Airport Enclave,2.06,4.0,5.0,4.0,"House For Sale: Direct Owner, Airport Enclave , Block-E, 5-Marla, 25x45 Ft; Two-Family Units: 1. Ground Floor = 1x Bed With Dressing &Amp; Attached Bath + 1x Kitchen + 1x Drawing With + 1x Lounge With Powder Bath + 1x Car Park 2. First Floor = 2x Beds Each With Dressing &Amp; Attached Bath + 1x Kitchen + 1x Lounge + Balconies (Front &Amp; Rear) 3. Mumty Floor = 1x Bed With Attached Bath + 1x Stair Lobby + 1x Laundry Space Other Features: Water Bore Available Reinforced Cement Concrete (RCC) Foundation RCC Water Tanks &Amp; RCC Septic Tank Media Walls In Lounges 2x2 Tile Flooring &Amp; Black Granite Stairs Swing Gate With Security Features False Ceiling And Media Points In All Rooms, Lounges &Amp; Drawing Room House Video Can Be Viewed At:",False,False,True,False,1,,2.0,1.0,1.0,Recently Built
3425,F-11,18.0,8.0,20.0,8.0,F11/4 top Location Triple story house Size 500 Ghaz 50/90 Corner house 8 bed room 2 kitchen Dining Drawing 2 Tv L Big lawn Big cars parking 2 Servant Quarter Demand 18 cr 50 Lac Cda transfer,False,False,False,True,0,2.0,2.0,2.0,3.0,Recently Built
3426,G-13,16.0,7.0,20.0,8.0,"G-13/4 20 Marla Beautiful Luxury Brand New House Big Lone Extra Land Big Car Parking, Market, Park, Masjid 8 Bedroom 7 Bathroom 2 Kitchen 2 DD Room Boor",False,False,False,False,0,,,,,Brand New (2025)
3427,DHA Phase 1,28.0,7.0,60.0,7.0,3 Kanal Approx designer house for Sale Dha 1 Islamabad Top heighted location with 360 scenic views Its a 7 bedrooms house Tripple stories 4 stops lift installed For more details and visit contact us Dewan builders,False,False,False,False,0,1.0,2.0,,3.0,Recently Built
3428,B-17,2.75,6.0,5.0,5.0,Mpchs multi garden B-17 Islamabad 5 Marla brand new triple hiteded designer corner house available for sale basement+ ground+ first floor+ momti 5 bed room's 6 wash room's 3D kitchen tv lunch's drowning rooms 2 sa 3 car parking Media wall triple hiteded lobby sarqat room A+++ construction solid wood work 24/7 boring water electric meter available near Market masjid school Park everything available on walking distance prime location fully luxury House VIP stairs fully developed area more details,True,False,True,True,0,1.0,1.0,1.0,1.0,Recently Built
3429,MPCHS - Multi Gardens,3.69,6.0,8.0,5.0,Mpchs multi garden B-17 Islamabad 8 Marla brand new luxury double unit house available for sale C block B-17 5 bed room's 6 wash room's 2 Tv lunch 2 drowning rooms 2 car parking easy 2 big kitchen's sarqat room laundry area sitting area rooftop terrace solid wood work A++ construction monthly 120k rent income possible 24/7 boring water electric meter available VIP location near Market masjid school Park everything available on walking distance. . very reasonable price 3cror 69lacs only more details,False,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3430,DHA Phase 2,13.5,6.0,20.0,5.0,"For Sale: 1 Kanal Luxury House DHA Phase 2, Islamabad (Prime Location Close to family bee Park) Demand: 13.50 Crore PKR 5 Bedrooms 2 TV Lounges Drawing Room + Dining Room 3-Car Parking Premium build quality & finishes Situated in a prime block near family bee park Managed by Al Arz Investments your trusted real-estate partner",True,False,False,False,0,2.0,1.0,1.0,2.0,Brand New (2025)
3432,Bani Gala,7.5,6.0,24.0,8.0,7 Bedrooms 2 Drawing Room Kitchen 2 TV Lounge 3 Car Parking 1 Servant Quarter Beautiful Lawn View,False,False,False,False,1,1.0,1.0,1.0,3.0,Brand New (2025)
3433,F-6,23.0,4.0,17.8,4.0,444 SqYd House Located in F-6/1 Demand 23 crore Contact for viewing and details,False,False,False,False,1,,,,,Recently Built
3434,MPCHS - Multi Gardens,3.15,6.0,8.0,4.0,Brand new house available for sale in B17 Multigarden Housing Society Islamabad Top notch location All Major Amenities of Society at walking distance Commercial area Mosque at walking distance Near From Main Entrance Of Society A+ Construction Water Boring available 2 electric meter installed Gas Applied 2 car park space in porch populated area Football Ground Cricket Ground Zoo Shopping centre School Health at walking distance. Top notch location Seen is believing Reasonable price negotiable also Direct owner meeting possible plz only Jeniune buyers may contact us by call. Thx,False,False,True,False,1,,,,,Brand New (2025)
3435,Bani Gala,3.0,6.0,7.0,5.0,"A beautifully built 7 Marla double-storey house is available for sale at Imran Khan Chowk, Banigala one of the most prime and peaceful locations in Islamabad. This house is designed with modern architecture, high-quality materials, and premium finishing perfect for families looking for comfort, elegance, and a great investment opportunity. Property Features: Double-storey, solid construction Beautifully designed interior with high-quality tiles and woodwork Spacious drawing room, TV lounge, and modern kitchen Multiple bedrooms with attached baths Elegant ceilings and stylish fixtures Wide car porch and open front area Ideal ventilation and natural light throughout All basic utilities available (Water, Electricity) Located at Imran Khan Chowk, Banigala Prime Location! Demand: [PKR 3 Crore] Ownership: Complete documents available",True,False,False,False,1,,,,2.0,Brand New (2025)
3436,D-12,4.5,4.0,4.4,4.0,"D-12 25*40 Brand New, Architect Design, Main Location, Extra Ordinary House With All Modern Fitting And Fixture More Detail Please Contact",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3437,Korang Town,3.1,6.0,6.0,4.0,"Brand new Modern house in Korang town Islamabad Size:6 Marla (30x50) 2-3 Minutes drive from Main Express Highway. Accommodation: 4 Bedrooms with attached Bathrooms Tv lounge,Kitchen,Drawing room on each Floor Electricity and water supply available Gas also available Parking for 2 Cars Basic Amenities School,Market and Masjid near this House. The price is Negotiable. For more Details and visit please contact me.",False,False,False,False,1,1.0,2.0,,2.0,Brand New (2025)
3438,G-9,10.8,6.0,14.2,6.0,40*80 cda transfer renovated house available in g-9/1,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
3440,G-9,5.7,2.0,6.0,3.0,"*Unbeatable Investment Opportunity!* *Old House for Sale G-9/3 Islamabad 30x50, 6 Marla Inverter Price: 5.80 Crore *Prime Location, Unique Charm,* A rare chance to own a piece of paradise! Perfect for savvy investors looking for a lucrative deal. Don't miss out!",True,False,False,False,1,,1.0,,2.0,Brand New (2025)
3445,G-11,5.8,5.0,6.6,4.0,"Used coner house for sale Available For Sale FGEHA Sector G-11 Islamabad. size 30 X 50 ( 6 Marla) Double Story House. Location Sun phase House . very Near To School,mosque,park And Shopping Area. metro Station On Foot Distance. Great Opportunity For You, Don'T Miss It. . . Original Pictures And Video Are Attached Property Feature 4 Bedrooms Attach Bath 2 Tv Lounge. 2 Drawing Dining 2 Kitchens. Servant Quarter Car Porch Electric Meter Installed Water Boring In Working Form. all Basic Facilities Are Available . Dem 5 Crore 80 Lakh Feel free to Contact Azan Marketing Estate and Builder G13 Islamabad nearly Kashmir highway Islamabad View Contact Detail",False,False,True,False,0,1.0,2.0,1.0,2.0,Modern Era
3448,G-13,3.28,5.0,4.0,5.0,G13/1 4 marla House for sale 5 bed 5 bath 2 kitchen 3.28 CR,False,False,False,False,0,2.0,2.0,2.0,,Recently Built
3449,G-13,4.0,5.0,4.0,5.0,4.5 Marla Brand New Modern Luxurious House for Sale in G13 Islamabad Only interested person contact us on whatsapp number please With all facilities prime location Asking demand 4cr negotiable For More details please contact us on whatsapp number please,True,False,False,False,0,,,,,Brand New (2025)
3450,G-13,5.65,7.0,7.0,6.0,Size 30 X 60 Modern Luxury House For Sale in G13 isb * 5 Bedrooms * 6 washrooms * 2 Kitchen * 2 T. V Lounge * 2 Drawing Dinning * 1 Servant Room * Car Porch * Situated Near Kashmir Highway And Metro Station. * Water Boring With 24/7 Water Supply * Water Supply From FGHEF Is Even Sufficient In The Street * Imported Washroom And Kitchen With Imported Floor Tiles In Kitchen * SS Railing In Staircase And Front Elevation * Outclass Imported Woodwork * Modern Lever Sets In Kitchen N Washrooms * Near To Masjid And Market Prime Location. Reasonable Demand. For More Details And Option Please Contact Us,True,False,True,False,0,,,,,Brand New (2025)
3452,G-13,4.5,5.0,4.0,5.0,"4 Bedrooms | 4 Bathrooms 2 TV Lounges 2 Modern Kitchens Servant Quarter Green Lawn | Double Road Water Boring + Supply Short Corner Electricity Meter Installed Prime Location: Near Kashmir Highway, schools, parks, hospitals, markets & masjid. Contact now for more details!",True,False,True,True,0,,,,,Brand New (2025)
3453,G-13,7.5,6.0,10.0,7.0,10 Marla 35x70 double units Beautiful House For Sale In G-13 Islamabad prime location very close to park playground market masjid and main double road VERY REASONABLE PRICE 7 crore 50 lac 6 Bedrooms 7 Attached Bathrooms 2 Drawing Room 2 Tv Lounge Double Kitchen 2 Room On Roof For Servant Parking Space For 3 Cars Water Bor And Water Supply Connection Totally Tiles Flooring Contact Us For Visit And More Details,True,False,False,False,0,,,,2.0,Recently Built
